-0.495,-0.495
-0.484,-0.577
-0.48,-0.686
-0.303,-0.525
-0.138,-0.296
-0.11,-0.302
-0.085,-0.32
-0.057,-0.324
-0.031,-0.361
0.001,-0.587
0.052,-0.588
0.102,-0.577
0.155,-0.577
0.213,-0.583
1.326,-2.833
0.755,-1.304
0.908,-1.293
1.079,-1.281
1.273,-1.268
1.386,-1.159
0.264,-0.184
1.683,-0.967
0.8,-0.371
0.797,-0.288
2.051,-0.544
2.329,-0.405
2.036,-0.173
0.837,0.002
0.831,0.075
0.833,0.149
1.992,0.54
1.97,0.724
1.963,0.923
1.946,1.132
0.86,0.606
0.719,0.607
0.59,0.594
0.489,0.587
0.402,0.578
0.328,0.573
0.273,0.591
0.253,0.705
0.189,0.717
0.125,0.724
0.061,0.738
-0.003,0.764
-0.137,1.486
-0.301,1.659
-0.325,1.188
-0.395,1.07
-0.459,0.971
-0.522,0.893
-0.582,0.823
-0.628,0.741
